datetime,open,high,low,close,volume,openinterest
2018-12-06 18:00:00,264.26,265.02,262.44,264.87,248881,132446
2018-12-06 19:00:00,264.86,267.09,264.39,266.65,207128,105043
2018-12-06 20:00:00,266.64,267.24,264.75,267.2,141880,72126
2018-12-06 21:00:00,267.18,267.64,265.19,267.03,191226,105389
2018-12-06 22:00:00,267.03,269.97,266.55,269.96,378751,173940
2018-12-07 16:30:00,269.46,271.22,269.25,270.36,95322,49657
2018-12-07 17:00:00,270.37,270.71,267.02,268.24,190615,97739
2018-12-07 18:00:00,268.25,268.51,265.35,265.36,179421,94510
2018-12-07 19:00:00,265.37,266.55,264.56,266.27,141835,70014
2018-12-07 20:00:00,266.26,266.91,264.37,264.4,123616,61491
2018-12-07 21:00:00,264.4,265.08,262.96,263.16,175095,94841
2018-12-07 22:00:00,263.16,265.46,262.63,263.65,373629,181413
2018-12-10 16:30:00,263.37,264.21,261.27,261.67,143997,79021
2018-12-10 17:00:00,261.66,263.26,260.14,260.49,233901,129815
2018-12-10 18:00:00,260.49,261.27,258.62,260.26,273177,148439
2018-12-10 19:00:00,260.25,262.78,259.61,262.29,171151,93581
2018-12-10 20:00:00,262.29,263.62,261.83,263.02,133784,76280
2018-12-10 21:00:00,263.03,264.4,262.33,263.3,141590,78185
2018-12-10 22:00:00,263.3,265.17,262.71,264.07,211893,98936
2018-12-11 16:30:00,267.66,267.87,266.89,267.11,121351,57154
2018-12-11 17:00:00,267.11,267.84,266.0,266.42,139287,73109
2018-12-11 18:00:00,266.41,266.5,264.85,265.62,141315,73095
2018-12-11 19:00:00,265.63,265.63,263.61,264.21,147997,68882
2018-12-11 20:00:00,264.2,264.71,262.52,262.69,111663,54901
